batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_pk,game_date,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge,actual,hit_primary,hit_secondary,log_date,is_dome,wind_out,hit_factor,tb_factor,hr_factor,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,primary_side,secondary_side
664761,Alec Bohm,PHI,NYM,1,5.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.2460176991150442,824250,2026-07-16,R,5,5,1,0,0,0,0,0,0,1,1,4,0,3,2,1,1,0.225,0.34875,1,0,1,0,1,0,0.1607142857142857,0.2769230769230769,0.7678571428571429,0.2,0.1707317073170731,0.1785714285714285,0.0307692307692307,0.0615384615384615,1.2666666666666666,0.8666666666666667,0.3953488372093023,0.3023255813953488,0.4883720930232558,0.1627906976744186,0.0465116279069767,0.286411111111111,0.5011888888888889,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5937477502457239,0.324620890673343,0.5937477502457239,1.2666666666666666,"{""betmgm"": {""0.5"": 160}, ""bet365"": {""1.5"": 130}, ""draftkings"": {""1.5"": 150}}",0.5,betmgm,160.0,0.3846153846153846,True,0.2091,1.5,draftkings,150.0,0.4,True,-0.0754,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
669016,Brandon Marsh,PHI,NYM,1,4.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824250,2026-07-16,L,4,3,0,0,0,0,1,0,0,1,0,2,0,0,0,2,0,0.045,0.0539999999999999,0,0,0,0,1,0,0.2258064516129032,0.2835820895522388,0.6612903225806451,0.3134328358208955,0.2702702702702703,0.2096774193548387,0.0597014925373134,0.0149253731343283,1.8,1.4,0.4390243902439024,0.2195121951219512,0.3658536585365853,0.3414634146341463,0.0975609756097561,0.3393,0.6619777777777778,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.6549495842891019,0.3903126975773785,0.6549495842891019,1.8,"{""betmgm"": {""0.5"": 130}, ""bet365"": {""1.5"": 130}, ""draftkings"": {""1.5"": 117}}",0.5,betmgm,130.0,0.4347826086956521,True,0.2202,1.5,bet365,130.0,0.4347826086956521,True,-0.0445,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
547180,Bryce Harper,PHI,NYM,1,3.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824250,2026-07-16,L,5,5,1,0,0,0,0,0,0,1,1,4,0,1,0,4,0,0.22725,0.25075,1,0,1,0,1,0,0.2222222222222222,0.3384615384615385,0.6851851851851852,0.2615384615384615,0.2777777777777778,0.1666666666666666,0.0307692307692307,0.0461538461538461,1.4,1.1333333333333333,0.5263157894736842,0.131578947368421,0.5,0.3421052631578947,0.0263157894736842,0.3566130952380952,0.5692797619047619,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.6316497007231688,0.3737833904226053,0.6316497007231688,1.4,"{""bet365"": {""1.5"": 105}, ""draftkings"": {""1.5"": 104}}",0.5,,,,False,,1.5,bet365,105.0,0.4878048780487805,True,-0.114,2,True,True,2026-07-16,,,,,,,,,,,,,,,,,
681082,Bryson Stott,PHI,NYM,1,6.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824250,2026-07-16,L,4,4,2,1,0,0,0,0,0,0,3,4,0,0,1,3,0,0.308,0.33975,1,1,1,1,0,0,0.2857142857142857,0.3492063492063492,0.7857142857142857,0.1904761904761904,0.3555555555555555,0.0535714285714285,0.0,0.0158730158730158,1.2666666666666666,0.8,0.3333333333333333,0.2222222222222222,0.3777777777777777,0.3333333333333333,0.0222222222222222,0.3848655555555555,0.5227144444444444,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.6304949533033067,0.3611835148898314,0.6304949533033067,1.2666666666666666,"{""betmgm"": {""0.5"": 200}, ""bet365"": {""1.5"": 125}, ""draftkings"": {""1.5"": 129}}",0.5,betmgm,200.0,0.3333333333333333,True,0.2972,1.5,draftkings,129.0,0.4366812227074236,True,-0.0755,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
656537,Derek Hill,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.2460176991150442,824250,2026-07-16,R,4,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0.2836666666666667,0.3263333333333333,0,0,0,0,1,1,0.3846153846153846,0.4146341463414634,0.6410256410256411,0.3333333333333333,0.5454545454545454,0.282051282051282,0.0714285714285714,0.0476190476190476,1.7333333333333334,0.9333333333333332,0.3846153846153846,0.3461538461538461,0.3076923076923077,0.3076923076923077,0.0769230769230769,0.4806410256410257,0.8393974358974359,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5778854268962096,0.3457292375422123,0.5778854268962096,1.7333333333333334,,0.5,,,,False,,1.5,,,,False,,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
624641,Edmundo Sosa,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.2460176991150442,824250,2026-07-16,R,4,2,0,0,0,0,1,0,0,1,0,2,0,0,1,1,0,0.011,0.015,0,0,0,0,1,0,0.2553191489361702,0.2941176470588235,0.851063829787234,0.1346153846153846,0.2564102564102564,0.1914893617021276,0.0384615384615384,0.0192307692307692,1.4,0.4666666666666667,0.4634146341463415,0.2926829268292683,0.4634146341463415,0.2195121951219512,0.0,0.3494,0.5731333333333333,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.6200999145731715,0.3611835148898314,0.6200999145731715,1.4,,0.5,,,,False,,1.5,,,,False,,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
687282,Gabriel Rincones Jr.,PHI,NYM,1,8.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824249,2026-07-16,L,4,4,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0.0843333333333333,0.0956666666666666,0,0,0,0,1,0,0.2291666666666666,0.2692307692307692,0.6875,0.2884615384615384,0.303030303030303,0.125,0.0192307692307692,0.0576923076923076,1.1333333333333333,1.0,0.4411764705882353,0.2058823529411764,0.4411764705882353,0.2647058823529412,0.0294117647058823,0.2599523809523809,0.4486369047619047,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5917948314266143,0.3334335824748003,0.5917948314266143,1.1333333333333333,,0.5,,,,False,,1.5,,,,False,,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
596117,Garrett Stubbs,PHI,NYM,1,,0,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824089,2026-07-16,L,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0.531,0.553,1,0,1,0,0,0,0.1388888888888889,0.2558139534883721,0.7222222222222222,0.2325581395348837,0.1851851851851851,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2962962962962963,0.2222222222222222,0.4814814814814814,0.1851851851851851,0.0,0.2294259259259259,0.2835092592592592,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5841870678211757,0.3444412399817166,0.5841870678211757,0.3333333333333333,,0.5,,,,False,,1.5,,,,False,,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
592663,J.T. Realmuto,PHI,NYM,1,7.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,1,1,0.2460176991150442,824250,2026-07-16,R,4,3,2,1,0,0,0,1,0,0,3,3,0,2,0,1,2,0.6033333333333334,0.7480000000000001,1,1,1,1,0,0,0.1698113207547169,0.25,0.7358490566037735,0.2333333333333333,0.1842105263157894,0.1886792452830188,0.0333333333333333,0.0666666666666666,1.2666666666666666,0.9333333333333332,0.325,0.25,0.375,0.35,0.0,0.2442244444444444,0.3575233333333333,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5598560475350914,0.3141665604685318,0.5598560475350914,1.2666666666666666,"{""bet365"": {""1.5"": 150}}",0.5,,,,False,,1.5,bet365,150.0,0.4,True,-0.0858,1,True,False,2026-07-16,,,,,,,,,,,,,,,,,
702222,Justin Crawford,PHI,NYM,1,9.0,1,681035,Christian Scott,R,823440,6:10 PM ET,,0,1,0.2460176991150442,824494,2026-07-16,L,3,3,1,0,0,0,0,0,0,0,1,3,0,2,1,1,1,0.3846666666666666,0.4646666666666666,1,0,1,0,0,0,0.3469387755102041,0.3725490196078431,0.7959183673469388,0.1886792452830188,0.4358974358974359,0.0816326530612244,0.0,0.0377358490566037,1.4,0.6666666666666666,0.2926829268292683,0.3414634146341463,0.5365853658536586,0.1219512195121951,0.0,0.4203846153846153,0.5083910256410256,0.5931372549019608,0.1965317919075144,0.3944444444444444,0.1666666666666666,0.3057851239669421,0.3057851239669421,0.0330578512396694,7.741258741258741,1.3216783216783217,11.13986013986014,0.2892156862745098,0.5019696255037885,0.209515914564707,0.5019696255037885,1.4,"{""bet365"": {""1.5"": 185}}",0.5,,,,False,,1.5,bet365,185.0,0.3508771929824561,True,-0.1414,0,False,False,2026-07-16,,,,,,,,,,,,,,,,,
