batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_k_1plus,p_k_2plus,adj_prob,pred_ks,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
666126,Carlos Cortes,ATH,WSH,1,1.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,0,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,L,2,2,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0.283,0.3,1,0,1,0,1,0,0.16666666666666666,0.18604651162790697,0.7142857142857143,0.27906976744186046,0.23333333333333334,0.047619047619047616,0.0,0.046511627906976744,0.6,0.8,0.3333333333333333,0.3,0.4,0.26666666666666666,0.0,0.24883750000000002,0.3434708333333334,0.2857142857142857,0.26666666666666666,0.24793749999999998,0.396375,0.16666666666666666,0.21428571428571427,0.27906976744186046,0.2777777777777778,0.3333333333333333,0.2857142857142857,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.6565972612205033,0.2747271584184952,0.6565972612205033,0.8,"{""bet365"": {""0.5"": {""over"": -160, ""under"": 120}}}",0.5,over,bet365,-160.0,0.6153846153846154,True,0.0412,1.5,,,,,False,
622268,Donovan Walton,ATH,WSH,1,7.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,0,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,L,1,1,1,1,0,0,0,0,0,0,2,1,0,1,0,0,1,0.331,0.513,1,0,1,1,0,0,0.3469387755102041,0.38461538461538464,0.8163265306122449,0.17307692307692307,0.3783783783783784,0.2653061224489796,0.057692307692307696,0.07692307692307693,2.0,0.6,0.35,0.35,0.375,0.225,0.0,0.31797333333333333,0.4571922222222222,0.1875,0.3333333333333333,0.32576666666666665,0.4262666666666666,0.32653061224489793,0.5306122448979592,0.20754716981132076,0.17142857142857143,0.34285714285714286,0.10810810810810811,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.5012209408300182,0.1756222844580924,0.5012209408300182,0.6,"{""bet365"": {""0.5"": {""over"": -155, ""under"": 115}}, ""betmgm"": {""0.5"": {""over"": -120}}}",0.5,over,betmgm,-120.0,0.5454545454545454,True,-0.0442,1.5,,,,,False,
703607,Henry Bolte,ATH,WSH,1,8.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,1,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,R,3,3,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,0.4335,0.47650000000000003,0,0,0,0,1,0,0.17857142857142858,0.23333333333333334,0.7142857142857143,0.26229508196721313,0.23076923076923078,0.05357142857142857,0.01639344262295082,0.0,0.8666666666666667,1.0666666666666667,0.35,0.125,0.7,0.15,0.0,0.2736544444444444,0.4299788888888889,0.06666666666666667,0.35294117647058826,0.21690000000000004,0.3934666666666666,0.2857142857142857,0.3877551020408163,0.23728813559322035,0.19298245614035087,0.3157894736842105,0.36065573770491804,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.7037144119703461,0.3067804146547998,0.7037144119703461,1.0666666666666667,"{""betmgm"": {""0.5"": {""over"": -250}}, ""bet365"": {""1.5"": {""over"": 300, ""under"": -450}}}",0.5,over,betmgm,-250.0,0.7142857142857143,True,-0.0106,1.5,over,bet365,300.0,0.25,True,0.0568
805779,Jacob Wilson,ATH,WSH,1,2.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,1,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,R,4,4,1,0,0,0,0,0,0,0,1,4,0,2,1,1,2,0.37050000000000005,0.5695,1,0,1,0,0,0,0.26785714285714285,0.32786885245901637,0.875,0.11475409836065574,0.2916666666666667,0.125,0.01639344262295082,0.03278688524590164,1.4666666666666666,0.4666666666666667,0.24489795918367346,0.2653061224489796,0.5510204081632653,0.16326530612244897,0.0,0.3374444444444445,0.4136166666666667,0.3333333333333333,0.10526315789473684,0.36413333333333336,0.42774999999999996,0.2727272727272727,0.43636363636363634,0.15,0.27586206896551724,0.3448275862068966,0.09230769230769231,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.5073963672633948,0.10474871847506532,0.5073963672633948,0.4666666666666667,"{""bet365"": {""0.5"": {""over"": 132, ""under"": -175}}}",0.5,over,bet365,132.0,0.43103448275862066,True,0.0764,1.5,,,,,False,
811965,Joshua Kuroda-Grauer,ATH,WSH,1,5.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,1,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,R,4,4,1,1,0,0,0,0,0,0,2,4,0,3,0,2,1,0.33325,0.47675000000000006,1,0,1,1,0,0,0.41304347826086957,0.425531914893617,0.8478260869565217,0.14893617021276595,0.48717948717948717,0.10869565217391304,0.0,0.10638297872340426,1.8461538461538463,0.5384615384615384,0.28205128205128205,0.28205128205128205,0.5384615384615384,0.15384615384615385,0.0,0.3205530303030303,0.39062121212121215,0.47368421052631576,0.15789473684210525,0.3116,0.376,0.4090909090909091,0.45454545454545453,0.21739130434782608,0.4,0.55,0.1,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.5747279846472924,0.24346524395394595,0.5747279846472924,0.5384615384615384,"{""bet365"": {""0.5"": {""over"": -150, ""under"": 110}}}",0.5,over,bet365,-150.0,0.6,True,-0.0253,1.5,,,,,False,
671732,Lawrence Butler,ATH,WSH,1,6.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,0,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,L,4,4,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0.068,0.0785,0,0,0,0,1,1,0.23255813953488372,0.4,0.6976744186046512,0.23636363636363636,0.3333333333333333,0.06976744186046512,0.0,0.05454545454545454,0.8666666666666667,0.8666666666666667,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.13333333333333333,0.0,0.33442261904761905,0.4231607142857143,0.15384615384615385,0.23529411764705882,0.29000000000000004,0.32810000000000017,0.24390243902439024,0.4146341463414634,0.3125,0.15789473684210525,0.15789473684210525,0.25,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.7093016082884223,0.3320207908052833,0.7093016082884223,0.8666666666666667,"{""bet365"": {""1.5"": {""over"": 210, ""under"": -300}}}",0.5,,,,,False,,1.5,over,bet365,210.0,0.3225806451612903,True,0.0094
669127,Shea Langeliers,ATH,WSH,1,4.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,1,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,R,4,4,1,0,0,1,0,0,0,0,4,4,1,3,1,3,0,0.39575,1.0215,1,0,1,1,0,0,0.18518518518518517,0.2786885245901639,0.5555555555555556,0.39344262295081966,0.3103448275862069,0.05555555555555555,0.01639344262295082,0.0,0.8666666666666667,1.6,0.5,0.23333333333333334,0.4,0.3333333333333333,0.06666666666666667,0.37491025641025644,0.5891666666666666,0.125,0.5263157894736842,0.4639999999999999,0.611,0.16393442622950818,0.29508196721311475,0.25,0.2542372881355932,0.5254237288135594,0.2714285714285714,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.7261983496534258,0.26769043671595816,0.7261983496534258,1.6,"{""bet365"": {""1.5"": {""over"": 202, ""under"": -280}}}",0.5,,,,,False,,1.5,over,bet365,202.0,0.33112582781456956,True,-0.0634
695720,Tommy White,ATH,WSH,1,9.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,1,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,R,4,2,1,0,0,0,2,0,0,0,1,2,0,1,0,2,0,,,1,0,1,0,0,0,,,,,,,,,,,,,,,,,,0.0,0.3333333333333333,,,,,,,,,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.358792357303418,0.045072993701356756,0.358792357303418,,"{""bet365"": {""0.5"": {""over"": -180, ""under"": 135}}, ""betmgm"": {""0.5"": {""over"": -120}}}",0.5,over,betmgm,-120.0,0.5454545454545454,True,-0.1867,1.5,,,,,False,
691016,Tyler Soderstrom,ATH,WSH,1,3.0,1,676917,Cade Cavalli,R,824981,9:40 PM ET,Sutter Health Park,0,1,0.26534296028880866,2026-07-17,824981,0,1,106.1,109.2,113.8,L,4,3,0,0,0,0,1,0,0,0,0,3,0,2,0,3,0,0.333,0.38166666666666665,0,0,0,0,0,0,0.2553191489361702,0.38596491228070173,0.7872340425531915,0.1724137931034483,0.2857142857142857,0.1702127659574468,0.034482758620689655,0.034482758620689655,1.3333333333333333,0.6666666666666666,0.43243243243243246,0.3783783783783784,0.43243243243243246,0.13513513513513514,0.02702702702702703,0.38845238095238094,0.6356607142857144,0.18181818181818182,0.23076923076923078,0.5987499999999999,1.1727500000000002,0.24,0.44,0.16393442622950818,0.3673469387755102,0.7755102040816326,0.1864406779661017,0.6486486486486487,0.22564102564102564,0.37623762376237624,0.12376237623762376,0.5416666666666666,0.20833333333333334,0.027777777777777776,8.770700636942676,1.2038216560509556,10.490445859872613,0.2747747747747748,0.6077136009210505,0.22185760655018313,0.6077136009210505,0.6666666666666666,"{""bet365"": {""0.5"": {""over"": -200, ""under"": 150}}}",0.5,over,bet365,-200.0,0.6666666666666666,True,-0.059,1.5,,,,,False,
665953,Andrés Chaparro,WSH,ATH,0,3.0,1,695611,Gage Jump,L,824981,9:40 PM ET,Sutter Health Park,1,0,0.21452702702702703,2026-07-17,824981,0,1,106.1,109.2,113.8,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.055,0.055,0,0,0,0,0,0,0.16666666666666666,0.2647058823529412,0.6,0.35294117647058826,0.23529411764705882,0.13333333333333333,0.029411764705882353,0.029411764705882353,0.6,0.8,0.6111111111111112,0.05555555555555555,0.5555555555555556,0.3333333333333333,0.0,0.33245454545454545,0.6524090909090909,0.25,0.625,0.5407500000000001,1.6337499999999998,0.10810810810810811,0.13513513513513514,0.21428571428571427,0.16666666666666666,0.3,0.3142857142857143,0.6775956284153005,0.2484076433121019,0.391304347826087,0.12422360248447205,0.3790322580645161,0.28225806451612906,0.024193548387096774,9.0,0.8372093023255813,8.58139534883721,0.2265193370165746,0.45527594402763755,0.1540299733942758,0.45527594402763755,0.8,"{""bet365"": {""0.5"": {""over"": -220, ""under"": 160}}}",0.5,over,bet365,-220.0,0.6875,True,-0.2322,1.5,,,,,False,
