player_name,team_abbr,stand,pitcher_name,p_throws,home_team,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,game_date,game_id,batter
Willy Adames,SF,R,Jameson Taillon,R,CHC,mlb_schedule,0.173538064964121,476,1,betrivers,600,0.14285714285714285,0.0307,0.1762869055973991,0.2727272727272727,0.0618181818181818,0.6654545454545455,0.9844070061587228,105.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,642715
Pete Crow-Armstrong,CHC,L,Trevor McDonald,R,CHC,mlb_schedule,0.178667706293065,460,1,betrivers,575,0.14814814814814814,0.0305,0.1825344057463264,0.2490842490842491,0.1135531135531135,0.6373626373626373,0.9788165993284844,102.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,691718
Luis Arraez,SF,L,Jameson Taillon,R,CHC,mlb_schedule,0.0546862318278532,1729,1,prophetx,2400,0.04,0.0147,0.0546984662589147,0.0437956204379562,0.0656934306569343,0.8905109489051095,0.9997763295408758,102.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,650333
Michael Busch,CHC,L,Trevor McDonald,R,CHC,mlb_schedule,0.1208683849621938,727,1,betrivers,750,0.11764705882352941,0.0032,0.1248102357766258,0.2332155477031802,0.1696113074204947,0.5971731448763251,0.9684172472721962,102.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,683737
Casey Schmitt,SF,R,Jameson Taillon,R,CHC,mlb_schedule,0.1694242126850576,490,1,prophetx,500,0.16666666666666666,0.0028,0.1702746186091992,0.1983471074380165,0.0495867768595041,0.7520661157024793,0.995005680053271,105.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,669477
Ian Happ,CHC,L,Trevor McDonald,R,CHC,mlb_schedule,0.1604221927835286,523,1,prophetx,530,0.15873015873015872,0.0017,0.1701047075611406,0.3185185185185185,0.1518518518518518,0.5296296296296297,0.9430790898357014,102.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,664023
Nico Hoerner,CHC,R,Trevor McDonald,R,CHC,mlb_schedule,0.0499985157084144,1900,1,prophetx,1900,0.05,-0.0,0.0500749721683482,0.0684931506849315,0.1130136986301369,0.8184931506849314,0.9984731602111168,105.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,663538
Rafael Devers,SF,L,Jameson Taillon,R,CHC,mlb_schedule,0.1635299729508306,512,1,prophetx,490,0.1694915254237288,-0.006,0.1675806482622465,0.3032490974729241,0.0722021660649819,0.6245487364620939,0.9758285019575944,102.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,646240
Matt Chapman,SF,R,Jameson Taillon,R,CHC,mlb_schedule,0.1047651231298656,855,1,betrivers,800,0.1111111111111111,-0.0063,0.1063324718413487,0.2185185185185185,0.1111111111111111,0.6703703703703703,0.9852599240444478,105.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,656305
Carson Kelly,CHC,R,Trevor McDonald,R,CHC,mlb_schedule,0.069936955909186,1330,1,prophetx,1150,0.08,-0.0101,0.0706651820254636,0.22,0.08,0.7000000000000001,0.9896946969440308,105.5,78.8,10.2,-9.244339427773829,0,2026-06-07,824670,608348
