player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Daniel Susac,SF,R,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.08835557502741248,1032,1,prophetx,1150.0,0.08,0.0084,0.0896818356660167,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,91.7,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,,8.0,8.0,0,87.0,4.485,0.0136986301369863,0.1506849315068493,0.136986301369863,83.21896632996634,0.3727857142857143,0.5178214285714285,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,0,0,0,,1,0,2026-06-14,823212,691740
Kyle Karros,COL,R,Jeffrey Springs,L,ATH,ATH,A,mlb_schedule,0.13896052941171655,620,1,betrivers,650.0,0.13333333333333333,0.0056,0.1422831388602499,0.217391304347826,0.1347826086956521,0.6478260869565218,3.6,0.976647904487145,113.3,94.3,11.4,10.41441821712565,0,82.0,0.0,10 MPH TOWARD OF,3:05 PM ET,Sutter Health Park,3.0,7.0,13.5,0,15.0,5.193,0.0461538461538461,0.2923076923076923,0.2,84.72215873015874,0.4354107142857142,0.6609345238095238,0.0260586319218241,0.2312703583061889,0.0456026058631921,4.68,1.92,16.0,75.0,0,0,0,,2,1,2026-06-14,824994,691720
Luis Arraez,SF,L,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.052900953391813575,1790,1,prophetx,1900.0,0.05,0.0029,0.052904731151644,0.0431893687707641,0.0598006644518272,0.8970099667774087,4.2,0.9999285931570167,77.2,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,2.0,2.0,8.0,0,28.0,4.485,0.0094339622641509,0.1509433962264151,0.1886792452830188,83.1271103896104,0.2977044444444444,0.41131,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,2,0,0,0.0,1,1,2026-06-14,823212,650333
Casey Schmitt,SF,R,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.15538608400664766,544,1,prophetx,530.0,0.15873015873015872,-0.0033,0.1560368346231165,0.2007434944237918,0.0446096654275092,0.7546468401486989,3.9,0.9958295064236556,91.7,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,15.0,5.0,8.0,1,9.0,4.485,0.0172413793103448,0.2413793103448276,0.1724137931034483,84.54021765271766,0.3856911111111111,0.5998766666666667,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,2,2,0,1.0,12,3,2026-06-14,823212,669477
Willy Adames,SF,R,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.14482973086005557,590,1,prophetx,570.0,0.14925373134328357,-0.0044,0.147524507123177,0.2779661016949152,0.0610169491525423,0.6610169491525423,3.7,0.9817333654206253,91.7,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,11.0,6.0,8.0,1,9.0,4.485,0.0125,0.2875,0.25,84.45284126984126,0.4055922222222222,0.64616,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,2,2,0,1.0,9,2,2026-06-14,823212,642715
Jung Hoo Lee,SF,L,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.05102828078886214,1860,1,prophetx,1500.0,0.0625,-0.0115,0.051085874381785,0.0972762645914396,0.0544747081712062,0.8482490272373541,3.6,0.9988726121727418,77.2,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,3.0,7.0,8.0,0,31.0,4.485,0.0119047619047619,0.1785714285714285,0.1428571428571428,82.0602037037037,0.3555366666666666,0.45476,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,0,0,0,,3,1,2026-06-14,823212,808982
Matt Chapman,SF,R,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.09283137842180351,977,1,prophetx,800.0,0.1111111111111111,-0.0183,0.0935918991251525,0.2108843537414966,0.1156462585034013,0.673469387755102,4.3,0.9918740755294215,91.7,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,6.0,1.0,8.0,1,9.0,4.485,0.0210526315789473,0.2842105263157894,0.1157894736842105,81.81974542124541,0.335147619047619,0.5615025641025642,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,2,0,0,0.0,5,2,2026-06-14,823212,656305
Drew Gilbert,SF,L,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.05067930135723489,1873,1,prophetx,1300.0,0.07142857142857142,-0.0207,0.0515390040518316,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,77.2,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,,9.0,8.0,0,15.0,4.485,0.0,0.2765957446808511,0.1489361702127659,82.61511111111112,0.3098154761904761,0.4214345238095238,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,2,2,0,1.0,3,0,2026-06-14,823212,687551
Rafael Devers,SF,L,Ryan Rolison,L,SF,CHC,H,mlb_schedule,0.11582298524493437,763,1,prophetx,490.0,0.1694915254237288,-0.0537,0.1183656381957442,0.3069306930693069,0.0759075907590759,0.6171617161716171,4.0,0.9785186563468278,77.2,69.1,14.8,13.302151885227673,0,100.0,3.0,13 MPH TOWARD OF,3:10 PM ET,Oracle Park,9.0,4.0,8.0,1,8.0,4.485,0.0229885057471264,0.2873563218390804,0.160919540229885,84.56489947089946,0.4460102564102564,0.7114307692307692,0.0344827586206896,0.3103448275862069,0.0344827586206896,,,,,4,2,0,0.5,7,2,2026-06-14,823212,646240
TJ Rumfield,COL,L,Jeffrey Springs,L,ATH,ATH,A,mlb_schedule,0.11103909926428294,801,1,prophetx,485.0,0.17094017094017094,-0.0599,0.1115258027996227,0.1476014760147601,0.1180811808118081,0.7343173431734318,4.1,0.9956359557777477,99.6,94.3,11.4,10.41441821712565,0,82.0,0.0,10 MPH TOWARD OF,3:05 PM ET,Sutter Health Park,8.0,3.0,13.5,0,22.0,5.193,0.0136986301369863,0.1643835616438356,0.1506849315068493,80.18574074074074,0.2409642857142857,0.3116858974358974,0.0260586319218241,0.2312703583061889,0.0456026058631921,4.68,1.92,16.0,75.0,0,0,0,,9,0,2026-06-14,824994,681198
