player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,game_total,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_barrel_pct_allowed_10,p_hardhit_pct_allowed_10,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Kyle Karros,COL,R,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1672690312327532,498,1,bet365,950,0.09523809523809523,0.072,0.1392690312327532,0.2167300380228136,0.1292775665399239,0.6539923954372624,3.6,0.9780866730865081,99.3,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,5.0,7.0,11.5,1,2.0,4.063,0.0161290322580645,0.3548387096774194,0.1774193548387097,85.62196825396826,0.3810888888888888,0.5482944444444444,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,8,0,0,0.0,4,1,2026-06-29,824339,691720,"{""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 750}}"
Alec Bohm,PHI,R,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.1454458470390978,588,1,fanduel,870,0.10309278350515463,0.0424,0.1174458470390978,0.1419558359621451,0.0757097791798107,0.7823343848580442,3.9,0.9973855500563613,114.1,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,9.0,5.0,8.5,0,13.0,3.113,0.0227272727272727,0.2386363636363636,0.1704545454545454,83.73467724867724,0.2621311111111111,0.389747619047619,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,8,2,0,0.25,5,4,2026-06-29,823444,664761,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 750}, ""fanduel"": {""odds"": 870}}"
Edouard Julien,COL,L,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1342722946262286,645,1,bet365,950,0.09523809523809523,0.039,0.1062722946262286,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,113.9,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,,9.0,11.5,0,62.0,4.063,0.0212765957446808,0.3617021276595745,0.1063829787234042,87.8858888888889,0.4633819444444444,0.6288472222222222,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,4,0,0,0.0,3,0,2026-06-29,824339,666397,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 750}}"
Jackson Holliday,BAL,L,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.1495224250042557,569,1,bet365,800,0.1111111111111111,0.0384,0.1215224250042557,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,115.6,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,,9.0,9.0,1,1.0,3.689,0.0204081632653061,0.2857142857142857,0.1836734693877551,82.19711111111111,0.3486153846153846,0.5697820512820513,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,8,0,0,0.0,4,1,2026-06-29,824822,702616,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 800}, ""fanduel"": {""odds"": 600}}"
J.T. Realmuto,PHI,R,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.1441050021498833,594,1,fanduel,830,0.10752688172043011,0.0366,0.1161050021498833,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,114.1,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,,7.0,8.5,0,14.0,3.113,0.0129870129870129,0.1948051948051948,0.1428571428571428,86.06483333333333,0.3708677777777777,0.5179733333333334,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,0,0,0,,5,0,2026-06-29,823444,592663,"{""novig"": {""odds"": 770}, ""bet365"": {""odds"": 700}, ""fanduel"": {""odds"": 830}}"
Trea Turner,PHI,R,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.136243882352715,634,1,fanduel,800,0.1111111111111111,0.0251,0.108243882352715,0.224376731301939,0.0664819944598338,0.7091412742382271,4.3,0.9950587933434699,114.1,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,7.0,1.0,8.5,0,33.0,3.113,0.0113636363636363,0.2613636363636363,0.0909090909090909,81.79020634920636,0.3322266666666666,0.4429866666666667,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,10,2,0,0.2,6,1,2026-06-29,823444,607208,"{""novig"": {""odds"": 700}, ""bet365"": {""odds"": 700}, ""fanduel"": {""odds"": 800}}"
Bryson Stott,PHI,L,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.16198316609586869,517,1,fanduel,600,0.14285714285714285,0.0191,0.1339831660958687,0.174496644295302,0.0805369127516778,0.7449664429530202,3.7,0.9936260285428584,118.3,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,7.0,6.0,8.5,0,6.0,3.113,0.0131578947368421,0.1973684210526315,0.1710526315789473,83.4453492063492,0.3178977777777778,0.4529866666666667,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,6,0,0,0.0,7,1,2026-06-29,823444,681082,"{""novig"": {""odds"": 567}, ""bet365"": {""odds"": 525}, ""pinnacle"": {""odds"": 582}, ""fanduel"": {""odds"": 600}}"
Colton Cowser,BAL,L,Sean Burke,R,BAL,CWS,H,mlb_schedule,0.15820629496067679,532,1,bet365,600,0.14285714285714285,0.0153,0.1302062949606768,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,115.6,89.8,8.2,-4.223312214262444,0,96.0,5.0,4 MPH TOWARD HP,6:35 PM ET,Camden Yards,,7.0,9.0,0,8.0,3.689,0.0,0.2549019607843137,0.1568627450980392,82.702,0.4245666666666666,0.6465738095238096,0.022140221402214,0.2324723247232472,0.025830258302583,3.71,1.133587786259542,11.0,87.33333333333333,4,0,0,0.0,8,1,2026-06-29,824822,681297,"{""novig"": {""odds"": 488}, ""bet365"": {""odds"": 600}, ""fanduel"": {""odds"": 450}}"
Jake McCarthy,COL,L,Sandy Alcantara,R,COL,MIA,H,mlb_schedule,0.1171797251258269,753,1,bet365,850,0.10526315789473684,0.0119,0.0891797251258269,0.22,0.08,0.7000000000000001,4.3,0.9943555530543188,113.9,90.0,18.3,6.855300659511189,0,63.0,0.0,7 MPH TOWARD OF,8:40 PM ET,Coors Field,,1.0,11.5,1,3.0,4.063,0.0,0.1612903225806451,0.1182795698924731,79.18784126984127,0.3196,0.4132866666666667,0.0153846153846153,0.2358974358974359,0.0205128205128205,4.01,0.9818181818181818,12.0,110.0,18,4,0,0.222,6,0,2026-06-29,824339,664983,"{""novig"": {""odds"": 669}, ""bet365"": {""odds"": 850}, ""fanduel"": {""odds"": 700}}"
Bryce Harper,PHI,L,Braxton Ashcraft,R,PHI,PIT,H,mlb_schedule,0.236838657698829,322,1,novig,335,0.22988505747126436,0.007,0.208838657698829,0.1885714285714285,0.1428571428571428,0.6685714285714286,4.1,0.9891956467768319,118.3,90.1,13.7,1.9066714831528968,0,97.0,9.0,CROSSWIND 14 MPH,6:40 PM ET,Citizens Bank Park,19.0,3.0,8.5,1,2.0,3.113,0.0246913580246913,0.2839506172839506,0.1604938271604938,85.51526455026456,0.4590077777777777,0.6631733333333333,0.00920245398773,0.2822085889570552,0.0214723926380368,3.07,0.7448275862068965,8.0,96.66666666666669,6,6,0,1.0,16,3,2026-06-29,823444,547180,"{""novig"": {""odds"": 335}, ""bet365"": {""odds"": 290}, ""pinnacle"": {""odds"": 292}, ""fanduel"": {""odds"": 330}}"
