player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter,book_markets
Brandon Marsh,PHI,L,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.15367340548898809,551,1,draftkings,920,0.09803921568627451,0.0556,0.1256734054889881,0.2549019607843137,0.0610021786492374,0.6840958605664488,3.7,0.9859280374134723,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,16.0,6.0,0,23.0,4.693,0.0,0.4222222222222222,0.2888888888888888,89.49044444444444,0.3123988888888889,0.4273844444444444,0.0272108843537414,,,,,4,2,0,0.5,13,3,2026-08-12,823017,669016,"{""novig"": {""odds"": 900}, ""bet365"": {""odds"": 700}, ""betmgm"": {""odds"": 625}, ""draftkings"": {""odds"": 920}, ""fanduel"": {""odds"": 870}}"
Jimmy Crooks,STL,L,Zack Wheeler,R,STL,PHI,H,mlb_schedule,0.15717316427119019,536,1,draftkings,820,0.10869565217391304,0.0485,0.1291731642711902,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,,9.0,1,9.0,3.514,0.0689655172413793,0.5517241379310345,0.5517241379310345,97.26666666666668,0.52795,0.8939888888888888,0.0564516129032258,,,,,0,0,0,,3,1,2026-08-12,823017,699625,"{""novig"": {""odds"": 809}, ""betmgm"": {""odds"": 675}, ""draftkings"": {""odds"": 820}, ""fanduel"": {""odds"": 750}}"
Alec Bohm,PHI,R,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.14001886425381652,614,1,bet365,950,0.09523809523809523,0.0448,0.1120188642538165,0.1404255319148936,0.0829787234042553,0.7765957446808511,3.5,0.9947298855843396,88.4,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,13.0,8.0,0,21.0,4.693,0.0,0.36,0.28,89.90777777777777,0.3211333333333332,0.4394166666666666,0.0272108843537414,,,,,2,2,0,1.0,7,6,2026-08-12,823017,664761,"{""novig"": {""odds"": 852}, ""bet365"": {""odds"": 950}, ""fanduel"": {""odds"": 800}}"
Trea Turner,PHI,R,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.1538555506171857,550,1,bet365,750,0.11764705882352941,0.0362,0.1258555506171857,0.2173076923076923,0.0673076923076923,0.7153846153846154,4.2,0.9948962997280296,88.4,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,17.0,2.0,1,4.0,4.693,0.0363636363636363,0.3818181818181818,0.1818181818181818,87.00022222222222,0.3814411111111111,0.5041333333333333,0.0272108843537414,,,,,2,0,0,0.0,14,3,2026-08-12,823017,607208,"{""novig"": {""odds"": 733}, ""bet365"": {""odds"": 750}, ""betmgm"": {""odds"": 575}, ""fanduel"": {""odds"": 680}}"
José Fermín,STL,R,Zack Wheeler,R,STL,PHI,H,mlb_schedule,0.1050558803139596,852,1,novig,1329,0.06997900629811056,0.0351,0.0770558803139596,0.22,0.08,0.7000000000000001,3.5,0.9852114909473605,88.4,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,,8.0,0,16.0,3.514,0.0238095238095238,0.4047619047619047,0.3333333333333333,92.07333333333332,0.3098111111111111,0.4238166666666667,0.0564516129032258,,,,,0,0,0,,2,3,2026-08-12,823017,665877,"{""novig"": {""odds"": 1329}, ""fanduel"": {""odds"": 1200}}"
Brooks Lee,MIN,L,Shane Baz,R,MIN,BAL,H,mlb_schedule,0.1334317788572328,649,1,novig,900,0.1,0.0334,0.1054317788572328,0.1623376623376623,0.0757575757575757,0.7619047619047619,3.9,0.9962903941527063,93.0,91.9,7.0,-0.1221668450609843,0,80.0,5.0,CROSSWIND 7 MPH,1:40 PM ET,Target Field,17.0,5.0,1,3.0,3.983,0.0,0.3548387096774194,0.3548387096774194,88.03444444444445,0.2282777777777777,0.3121611111111111,0.0111111111111111,3.76,0.6601466992665036,10.0,136.33333333333334,0,0,0,,14,4,2026-08-12,823672,686797,"{""novig"": {""odds"": 900}, ""betmgm"": {""odds"": 525}, ""draftkings"": {""odds"": 800}, ""fanduel"": {""odds"": 800}}"
César Prieto,STL,L,Zack Wheeler,R,STL,PHI,H,mlb_schedule,0.1118944724398558,794,1,novig,1150,0.08,0.0319,0.0838944724398558,0.22,0.08,0.7000000000000001,3.6,0.9868889788795845,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,,7.0,0,,3.514,0.05,0.4,0.25,90.03888888888889,0.3406428571428571,0.4899880952380951,0.0564516129032258,,,,,0,0,0,,0,0,2026-08-12,823017,693409,"{""novig"": {""odds"": 1150}, ""draftkings"": {""odds"": 1100}, ""fanduel"": {""odds"": 1060}}"
Luke Keaschall,MIN,R,Shane Baz,R,MIN,BAL,H,mlb_schedule,0.1205439078260396,730,1,novig,1011,0.09000900090009001,0.0305,0.0925439078260396,0.1496598639455782,0.1360544217687075,0.7142857142857143,3.7,0.9902960570214339,92.4,91.9,7.0,-0.1221668450609843,0,80.0,5.0,CROSSWIND 7 MPH,1:40 PM ET,Target Field,6.0,6.0,0,10.0,3.983,0.0,0.3043478260869565,0.3478260869565217,84.95833333333333,0.3509777777777778,0.48745,0.0111111111111111,3.76,0.6601466992665036,10.0,136.33333333333334,6,0,0,0.0,6,1,2026-08-12,823672,807712,"{""novig"": {""odds"": 1011}, ""betmgm"": {""odds"": 750}, ""fanduel"": {""odds"": 900}}"
Justin Crawford,PHI,L,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.0879195374654098,1037,1,novig,1567,0.059988002399520096,0.0279,0.0599195374654098,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,,9.0,0,91.0,4.693,0.0238095238095238,0.3809523809523809,0.238095238095238,82.64666666666666,0.2998222222222222,0.3519444444444444,0.0272108843537414,,,,,0,0,0,,2,0,2026-08-12,823017,702222,"{""novig"": {""odds"": 1567}, ""bet365"": {""odds"": 1500}, ""betmgm"": {""odds"": 1500}, ""draftkings"": {""odds"": 1460}, ""fanduel"": {""odds"": 1300}}"
Bryson Stott,PHI,L,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.125753055817242,695,1,betmgm,875,0.10256410256410256,0.0232,0.097753055817242,0.1737193763919821,0.1024498886414253,0.7238307349665924,3.9,0.9933841775384701,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,8.0,5.0,0,17.0,4.693,0.0,0.5526315789473685,0.1578947368421052,93.51611111111112,0.3748388888888889,0.4931388888888888,0.0272108843537414,,,,,2,0,0,0.0,8,1,2026-08-12,823017,681082,"{""novig"": {""odds"": 809}, ""bet365"": {""odds"": 850}, ""betmgm"": {""odds"": 875}, ""draftkings"": {""odds"": 760}, ""fanduel"": {""odds"": 800}}"
Masyn Winn,STL,R,Zack Wheeler,R,STL,PHI,H,mlb_schedule,0.09799780472853059,920,1,novig,1233,0.07501875468867217,0.023,0.0699978047285306,0.2,0.1054945054945055,0.6945054945054946,3.7,0.9875688131776021,88.4,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,4.0,6.0,0,40.0,3.514,0.0,0.3157894736842105,0.2368421052631578,85.259,0.3022433333333333,0.3790388888888888,0.0564516129032258,,,,,10,2,0,0.2,4,0,2026-08-12,823017,691026,"{""novig"": {""odds"": 1233}, ""betmgm"": {""odds"": 1150}, ""draftkings"": {""odds"": 1160}, ""fanduel"": {""odds"": 1100}}"
Bryce Harper,PHI,L,Kyle Leahy,R,STL,STL,A,mlb_schedule,0.1925414201513883,419,1,novig,488,0.17006802721088435,0.0225,0.1645414201513883,0.2101167315175097,0.1614785992217899,0.6284046692607004,4.1,0.9827301717760891,81.1,101.8,14.0,9.184826405867105,0,85.0,14.0,9 MPH TOWARD OF,2:15 PM ET,Busch Stadium,25.0,3.0,1,4.0,4.693,0.025,0.4,0.175,91.77055555555556,0.4869277777777777,0.7491444444444445,0.0272108843537414,,,,,4,0,0,0.0,21,4,2026-08-12,823017,547180,"{""novig"": {""odds"": 488}, ""bet365"": {""odds"": 425}, ""betmgm"": {""odds"": 380}, ""fanduel"": {""odds"": 440}}"
Ryan Kreidler,MIN,R,Shane Baz,R,MIN,BAL,H,mlb_schedule,0.1202435173205239,732,1,betmgm,900,0.1,0.0202,0.0922435173205239,0.22,0.08,0.7000000000000001,3.4,0.9833193770346799,92.4,91.9,7.0,-0.1221668450609843,0,80.0,5.0,CROSSWIND 7 MPH,1:40 PM ET,Target Field,,9.0,0,45.0,3.983,0.027027027027027,0.4324324324324324,0.2702702702702703,86.7538888888889,0.4055833333333333,0.6024722222222222,0.0111111111111111,3.76,0.6601466992665036,10.0,136.33333333333334,0,0,0,,4,1,2026-08-12,823672,668952,"{""novig"": {""odds"": 900}, ""betmgm"": {""odds"": 900}, ""draftkings"": {""odds"": 850}, ""fanduel"": {""odds"": 750}}"
