player_name,team_abbr,stand,pitcher_name,p_throws,home_team,opp_team,is_home,lineup_source,adj_prob,fair_odds,has_line,best_book,best_odds,book_implied,edge,model_prob,k_pct,bb_pct,contact_rate,exp_pa,p_contact_game,hr_park_factor,temp_f,wind_speed,wind_favor,is_dome,humidity_pct,precip_pct,wind_description,game_time,stadium,season_hr,bat_order,recent_hr,days_since_hr,p_fip,barrel_pct_15,hardhit_pct_15,flyball_pct_15,avg_ev_15,xwoba_15,xslg_15,p_hr_per_bb_allowed_10,pitcher_era,pitcher_hr9,pitcher_hr_allowed,pitcher_ip,vs_pitcher_ab,vs_pitcher_h,vs_pitcher_hr,vs_pitcher_avg,hr_vs_r,hr_vs_l,game_date,game_id,batter
Jackson Merrill,SD,L,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.2349441922663462,326,0,,,,,0.2069441922663462,0.2451154529307282,0.0692717584369449,0.6856127886323269,3.9,0.9890323647455755,123.1,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,22.0,5.0,1,3.0,6.791,0.0476190476190476,0.4285714285714285,0.3809523809523809,93.96766666666666,0.4435444444444444,0.6565344444444445,0.0441988950276243,4.72,1.703883495145631,26.0,137.33333333333334,6,2,0,0.333,18,4,2026-08-31,824473,701538
Fernando Tatis Jr.,SD,R,Brady Singer,R,CIN,CIN,A,mlb_schedule,0.2309767255718526,333,0,,,,,0.2029767255718526,0.1865546218487395,0.0991596638655462,0.7142857142857143,4.3,0.9954237745789739,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,17.0,1.0,0,8.0,6.791,0.0392156862745098,0.6470588235294118,0.2156862745098039,92.97433333333332,0.5387255555555555,0.7864188888888889,0.0441988950276243,4.72,1.703883495145631,26.0,137.33333333333334,12,4,0,0.333,10,7,2026-08-31,824473,665487
Hunter Goodman,COL,R,Cade Povich,L,COL,BAL,H,mlb_schedule,0.2241045781745108,346,0,,,,,0.1961045781745108,0.3243801652892562,0.0909090909090909,0.5847107438016529,4.1,0.9727580712524201,99.3,88.3,20.0,19.225233918766374,0,81.0,28.0,19 MPH TOWARD OF,8:40 PM ET,Coors Field,36.0,3.0,1,5.0,5.79,0.0227272727272727,0.4772727272727273,0.3863636363636363,90.24677777777778,0.3849888888888888,0.5997555555555556,0.0512820512820512,,,,,0,0,0,,28,9,2026-08-31,824314,696100
Sal Stewart,CIN,R,Michael King,R,CIN,SD,H,mlb_schedule,0.2121403240210997,371,0,,,,,0.1841403240210997,0.2184873949579832,0.1025210084033613,0.6789915966386555,4.1,0.9905219881743789,113.5,94.9,9.6,4.94436551913652,0,90.0,1.0,5 MPH TOWARD OF,6:40 PM ET,Great American Ball Park,31.0,3.0,1,1.0,4.019,0.0416666666666666,0.375,0.3541666666666667,90.1962222222222,0.45633,0.70401,0.0509554140127388,3.23,1.0384615384615383,18.0,156.0,12,4,2,0.333,24,8,2026-08-31,824473,701398
Wilyer Abreu,BOS,L,George Kirby,R,BOS,SEA,H,mlb_schedule,0.20321996758216399,392,0,,,,,0.175219967582164,0.2017094017094017,0.1111111111111111,0.6871794871794872,4.0,0.9904240715021476,80.8,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,23.0,4.0,1,2.0,3.395,0.0222222222222222,0.4666666666666667,0.2444444444444444,87.10277777777779,0.3645722222222222,0.5640222222222223,0.05,4.02,1.036117381489842,17.0,147.66666666666666,6,0,0,0.0,18,6,2026-08-31,824719,677800
Kody Clemens,MIN,L,Jackson Jobe,R,MIN,DET,H,mlb_schedule,0.1997941097511792,401,0,,,,,0.1717941097511792,0.2272727272727272,0.0743801652892562,0.6983471074380165,4.1,0.9926551872890724,93.0,91.1,7.8,-4.802159507540135,0,100.0,4.0,5 MPH TOWARD HP,7:40 PM ET,Target Field,22.0,3.0,1,3.0,,0.075,0.55,0.35,91.64944444444444,0.5131,0.8119999999999999,0.0472972972972973,,,,,0,0,0,,17,6,2026-08-31,823663,665019
Matt Olson,ATL,L,Anthony Molina,R,ATL,SF,H,mlb_schedule,0.1888609454119622,429,0,,,,,0.1608609454119622,0.2516778523489933,0.1040268456375839,0.6442953020134228,4.1,0.9855633188445282,98.1,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,37.0,3.0,1,5.0,,0.0,0.4634146341463415,0.3902439024390244,91.5311111111111,0.4786833333333333,0.7525388888888889,0.032258064516129,,,,,4,0,0,0.0,25,14,2026-08-31,824911,621566
Rafael Devers,SF,L,Bryce Elder,R,ATL,ATL,A,mlb_schedule,0.1870389636746416,435,0,,,,,0.1590389636746416,0.2560137457044673,0.1048109965635738,0.6391752577319588,4.2,0.9861756569468001,98.1,92.3,6.5,-5.1220698984436925,0,92.0,4.0,5 MPH TOWARD HP,6:05 PM ET,Truist Park,29.0,2.0,1,5.0,3.454,0.0212765957446808,0.4468085106382978,0.4042553191489361,93.78655555555557,0.37347,0.6075900000000001,0.0867052023121387,3.95,1.3781902552204175,22.0,143.66666666666666,12,10,4,0.833,24,5,2026-08-31,824911,646240
Cal Raleigh,SEA,L,Payton Tolle,L,BOS,BOS,A,mlb_schedule,0.1866613036121326,436,0,,,,,0.1586613036121326,0.3161592505854801,0.1428571428571428,0.540983606557377,4.0,0.9556071747465539,80.8,76.9,9.0,-7.092096782460497,0,91.0,17.0,7 MPH TOWARD HP,6:45 PM ET,Fenway Park,19.0,4.0,1,2.0,2.656,0.0833333333333333,0.5833333333333334,0.5,95.20444444444443,0.4834222222222222,0.8455999999999999,0.0522388059701492,,,,,6,0,0,0.0,13,6,2026-08-31,824719,663728
Junior Caminero,TB,R,Robert Stock,R,TB,NYM,H,mlb_schedule,0.1866503265266046,436,0,,,,,0.1586503265266046,0.1821247892074199,0.1231028667790893,0.6947723440134908,4.1,0.9922917123264511,110.5,87.5,0.0,0.0,1,94.0,33.0,DOME,6:40 PM ET,Tropicana Field,37.0,3.0,1,1.0,,0.0,0.4791666666666667,0.1875,93.32811111111111,0.2971444444444444,0.3774855555555555,0.0595238095238095,,,,,0,0,0,,29,8,2026-08-31,822932,691406
