batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,tb_park_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
655316,Andruw Monasterio,BOS,TB,1,,0.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,4,2,1,1,0,0,2,0,0,0,2,2,0,1,1,0,1,0.359,0.481,1,0,1,1,0,0,0.20454545454545456,0.2391304347826087,0.8181818181818182,0.1702127659574468,0.18181818181818182,0.2727272727272727,0.06382978723404255,0.02127659574468085,1.4,0.5333333333333333,0.43243243243243246,0.16216216216216217,0.32432432432432434,0.43243243243243246,0.13513513513513514,0.3267083333333333,0.5947142857142858,0.2777777777777778,0.8334333333333335,0.19148936170212766,0.23404255319148937,0.2708333333333333,0.23684210526315788,0.5263157894736842,0.1951219512195122,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.5792507916404576,0.3048283196170282,0.5792507916404576,1.4,,0.5,,,,,False,,1.5,,,,,False,
678011,Anthony Seigler,BOS,TB,1,1.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,0,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.006,0.008,0,0,0,0,0,0,0.16666666666666666,0.2857142857142857,0.8,0.16666666666666666,0.17391304347826086,0.13333333333333333,0.027777777777777776,0.027777777777777776,0.6,0.4,0.24,0.24,0.36,0.36,0.04,0.2932916666666667,0.5150555555555555,0.16666666666666666,0.48719999999999997,0.26666666666666666,0.4888888888888889,0.25,0.25806451612903225,0.3225806451612903,0.10256410256410256,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.5145411602529127,0.25473781795048306,0.5145411602529127,0.6,"{""novig"": {""1.5"": {""over"": 135, ""under"": -217}}, ""betmgm"": {""0.5"": {""over"": -190, ""under"": 140}}, ""bet365"": {""1.5"": {""over"": 150, ""under"": -200}}, ""pinnacle"": {""1.5"": {""over"": 150, ""under"": -203}}, ""draftkings"": {""1.5"": {""over"": 149, ""under"": -200}}}",0.5,over,betmgm,-190.0,0.6551724137931034,True,-0.1406,1.5,under,bet365,-200.0,0.6666666666666666,True,0.0786
702332,Caleb Durbin,BOS,TB,1,4.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,4,2,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0.126,0.226,0,0,0,0,1,0,0.2777777777777778,0.3709677419354839,0.8518518518518519,0.12903225806451613,0.2619047619047619,0.25925925925925924,0.06451612903225806,0.03225806451612903,1.9333333333333333,0.5333333333333333,0.2826086956521739,0.30434782608695654,0.391304347826087,0.17391304347826086,0.0,0.2782577777777778,0.4212266666666667,0.3157894736842105,0.5186733333333333,0.38461538461538464,0.7115384615384616,0.1724137931034483,0.2222222222222222,0.3888888888888889,0.04918032786885246,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.6564866520762703,0.3972442732310615,0.6564866520762703,1.9333333333333333,"{""novig"": {""1.5"": {""over"": 138, ""under"": -170}}, ""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}, ""betmgm"": {""1.5"": {""over"": 145, ""under"": -200}}, ""pinnacle"": {""1.5"": {""over"": 135, ""under"": -181}}, ""draftkings"": {""1.5"": {""over"": 129, ""under"": -172}}}",0.5,,,,,False,,1.5,under,novig,-170.0,0.6296296296296297,True,-0.0269
665966,Carlos Narváez,BOS,TB,1,8.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,4,3,0,0,0,0,1,0,0,1,0,2,0,1,1,0,0,0.1835,0.4455,0,0,0,0,1,0,0.15217391304347827,0.18,0.5869565217391305,0.36538461538461536,0.2413793103448276,0.021739130434782608,0.0,0.019230769230769232,0.5333333333333333,1.2666666666666666,0.3870967741935484,0.22580645161290322,0.3870967741935484,0.3225806451612903,0.0,0.33542222222222223,0.5711111111111111,0.125,0.2934333333333333,0.1590909090909091,0.1590909090909091,0.37735849056603776,0.2,0.325,0.30434782608695654,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.5995740656486629,0.3632779588314485,0.5995740656486629,0.5333333333333333,"{""novig"": {""1.5"": {""over"": 203}}, ""betmgm"": {""0.5"": {""over"": -125, ""under"": -105}}, ""pinnacle"": {""0.5"": {""over"": -145, ""under"": 109}}}",0.5,over,betmgm,-125.0,0.5555555555555556,True,0.044,1.5,over,novig,203.0,0.33003300330033003,True,0.0332
678882,Ceddanne Rafaela,BOS,TB,1,2.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,5,5,1,0,0,0,0,0,0,2,1,3,0,0,2,0,1,0.3363333333333333,0.39466666666666667,1,0,1,0,1,1,0.265625,0.3088235294117647,0.828125,0.15942028985507245,0.3076923076923077,0.109375,0.014492753623188406,0.057971014492753624,1.6,0.7333333333333333,0.16666666666666666,0.2777777777777778,0.5370370370370371,0.14814814814814814,0.0,0.2972711111111111,0.3892400000000001,0.2727272727272727,0.4942366666666668,0.27419354838709675,0.3548387096774194,0.14925373134328357,0.24615384615384617,0.4307692307692308,0.2,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.6986077143221503,0.4093943536934071,0.6986077143221503,1.6,"{""novig"": {""1.5"": {""over"": 127, ""under"": -150}}, ""bet365"": {""1.5"": {""over"": 125, ""under"": -165}}, ""betmgm"": {""1.5"": {""over"": 105, ""under"": -145}}, ""pinnacle"": {""1.5"": {""over"": 122, ""under"": -163}}, ""draftkings"": {""1.5"": {""over"": 120, ""under"": -160}}}",0.5,,,,,False,,1.5,under,betmgm,-145.0,0.5918367346938775,True,-0.0012
657136,Connor Wong,BOS,TB,1,,0.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,4,3,1,0,0,0,0,0,0,0,1,4,0,0,1,2,1,0.28099999999999997,0.32233333333333336,1,0,1,0,0,0,0.3333333333333333,0.46,0.717948717948718,0.21568627450980393,0.42857142857142855,0.07692307692307693,0.0196078431372549,0.0,1.0666666666666667,0.7333333333333333,0.36666666666666664,0.3,0.43333333333333335,0.2,0.0,0.40696666666666664,0.5117222222222222,0.3333333333333333,0.2692000000000001,0.25,0.35,0.25,0.30434782608695654,0.391304347826087,0.19230769230769232,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.6280114647595323,0.392456630373694,0.6280114647595323,1.0666666666666667,,0.5,,,,,False,,1.5,,,,,False,
680776,Jarren Duran,BOS,TB,1,7.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,0,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,L,4,4,1,0,0,0,0,0,0,1,1,3,0,0,1,2,0,0.09833333333333334,0.12133333333333333,1,0,1,0,1,0,0.14285714285714285,0.2413793103448276,0.6122448979591837,0.31666666666666665,0.1935483870967742,0.08163265306122448,0.016666666666666666,0.016666666666666666,0.7333333333333333,1.2666666666666666,0.2727272727272727,0.21212121212121213,0.42424242424242425,0.3333333333333333,0.06060606060606061,0.3766538461538461,0.6878012820512821,0.11764705882352941,0.6928611111111111,0.12,0.18,0.35714285714285715,0.18461538461538463,0.27692307692307694,0.3611111111111111,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.5826683559937077,0.3389001952193033,0.5826683559937077,0.7333333333333333,"{""novig"": {""1.5"": {""over"": 120, ""under"": -147}}, ""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""bet365"": {""1.5"": {""over"": 150, ""under"": -200}}, ""pinnacle"": {""0.5"": {""over"": -181, ""under"": 135}}, ""draftkings"": {""1.5"": {""over"": 142, ""under"": -190}}}",0.5,over,betmgm,-165.0,0.6226415094339622,True,-0.04,1.5,under,novig,-147.0,0.5951417004048583,True,0.066
807799,Masataka Yoshida,BOS,TB,1,5.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,0,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,L,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.834,1.005,0,0,0,0,0,0,0.34,0.3888888888888889,0.86,0.12962962962962962,0.36585365853658536,0.2,0.037037037037037035,0.07407407407407407,1.8,0.4666666666666667,0.32558139534883723,0.32558139534883723,0.4186046511627907,0.20930232558139536,0.023255813953488372,0.38349666666666665,0.54091,0.38095238095238093,0.5638833333333333,0.34,0.54,0.12962962962962962,0.25,0.36538461538461536,0.05172413793103448,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.6497787111923766,0.38967668161062896,0.6497787111923766,1.8,"{""novig"": {""1.5"": {""over"": 142, ""under"": -178}}, ""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}, ""betmgm"": {""1.5"": {""over"": 130, ""under"": -175}}, ""pinnacle"": {""1.5"": {""over"": 135, ""under"": -181}}, ""draftkings"": {""1.5"": {""over"": 135, ""under"": -180}}}",0.5,,,,,False,,1.5,under,betmgm,-175.0,0.6363636363636364,True,-0.026
663853,Romy Gonzalez,BOS,TB,1,6.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,1,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,R,4,3,0,0,0,0,1,0,0,0,0,3,0,1,0,3,0,0.292,0.328,0,0,0,0,0,0,0.20754716981132076,0.25,0.6226415094339622,0.35714285714285715,0.3125,0.11320754716981132,0.017857142857142856,0.017857142857142856,1.1333333333333333,1.3333333333333333,0.36363636363636365,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.030303030303030304,0.3251555555555556,0.46257777777777775,0.1875,0.2861999999999999,0.3333333333333333,0.3888888888888889,0.25,0.26,0.46,0.2222222222222222,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.6358653254580734,0.36398121313273735,0.6358653254580734,1.1333333333333333,"{""novig"": {""1.5"": {""over"": 156, ""under"": -203}}, ""bet365"": {""1.5"": {""over"": 155, ""under"": -210}}, ""betmgm"": {""1.5"": {""over"": 145, ""under"": -200}}, ""pinnacle"": {""1.5"": {""over"": 157, ""under"": -213}}, ""draftkings"": {""1.5"": {""over"": 151, ""under"": -203}}}",0.5,,,,,False,,1.5,under,betmgm,-200.0,0.6666666666666666,True,-0.0306
691907,Tsung-Che Cheng,BOS,TB,1,9.0,1.0,643377.0,Griffin Jax,R,824766,1:35 PM ET,,0,1,0.2204861111111111,2026-07-17,824766,0,1,97.9,L,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.5685,0.62,0,0,0,0,1,0,0.23684210526315788,0.2857142857142857,0.631578947368421,0.3333333333333333,0.36,0.02631578947368421,0.0,0.023809523809523808,0.6666666666666666,0.9333333333333333,0.28,0.2,0.52,0.28,0.04,0.3627575757575758,0.5223333333333333,0.4117647058823529,0.5722999999999999,0.2727272727272727,0.30303030303030304,0.3055555555555556,0.4,1.2,0.2,0.6542553191489362,0.19631901840490798,0.43023255813953487,0.19186046511627908,0.4146341463414634,0.22764227642276422,0.04065040650406504,7.851063829787234,1.7234042553191489,9.76595744680851,0.2727272727272727,0.40373293915153347,0.22909849229449428,0.40373293915153347,0.6666666666666666,"{""novig"": {""1.5"": {""over"": 203}}, ""betmgm"": {""0.5"": {""over"": -120, ""under"": -110}}, ""bet365"": {""1.5"": {""over"": 220, ""under"": -320}}, ""pinnacle"": {""0.5"": {""over"": -131, ""under"": -101}}}",0.5,under,pinnacle,-101.0,0.5024875621890548,True,0.0938,1.5,under,bet365,-320.0,0.7619047619047619,True,0.009
