batter,player_name,team_abbr,opp_team,is_home,bat_order,in_lineup,pitcher_id,pitcher_name,p_throws,game_id,game_time,stadium,stand_R,p_throws_R,opp_k_pct_15,game_date,game_pk,is_dome,wind_out,hit_factor,tb_factor,hr_factor,stand,pa,ab,h,doubles,triples,hr,bb,hbp,sf,k,tb,batted_balls,barrels,hard_hits,fly_balls,ground_balls,line_drives,avg_xba,avg_xslg,target_hit_1plus,target_hit_2plus,target_tb_1plus,target_tb_2plus,target_k_1plus,target_k_2plus,batting_avg_15,obp_15,contact_rate_15,k_rate_15,babip_15,iso_15,hr_rate_15,doubles_rate_15,extra_base_hit_rate_15,avg_total_bases_15,avg_k_per_game_15,hard_hit_pct_15,line_drive_pct_15,gb_pct_15,fly_ball_pct_15,barrel_pct_15,xba_15,xslg_15,batting_avg_last_5,k_rate_last_5,xba_last_5,xslg_last_5,batting_avg_vs_R_15,slg_vs_R_15,k_rate_vs_R_15,batting_avg_vs_L_15,slg_vs_L_15,k_rate_vs_L_15,p_contact_rate_allowed_10,p_babip_allowed_10,p_slg_allowed_10,p_iso_allowed_10,p_gb_pct_10,p_fb_pct_10,p_barrel_pct_allowed_10,p_hits_per9_10,p_hr_per9_10,p_k_per9_10,p_k_rate_10,p_tb_1plus,p_tb_2plus,adj_prob,pred_total_bases,book_markets,primary_line,primary_side,primary_best_book,primary_best_odds,primary_book_implied,primary_has_line,primary_edge,secondary_line,secondary_side,secondary_best_book,secondary_best_odds,secondary_book_implied,secondary_has_line,secondary_edge
595978,Austin Hedges,CLE,MIN,1,8.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,1,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0.074,0.0915,0,0,0,0,0,0,0.36363636363636365,0.391304347826087,0.8409090909090909,0.14285714285714285,0.4,0.20454545454545456,0.04081632653061224,0.061224489795918366,0.11363636363636363,1.6666666666666667,0.4666666666666667,0.358974358974359,0.23076923076923078,0.38461538461538464,0.3333333333333333,0.02564102564102564,0.33825000000000005,0.5505222222222221,0.4375,0.21052631578947367,0.3917333333333334,0.6261666666666665,0.3181818181818182,0.4772727272727273,0.1509433962264151,0.2619047619047619,0.42857142857142855,0.14893617021276595,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.5687372825271622,0.32724619439083935,0.5687372825271622,1.6666666666666667,"{""novig"": {""1.5"": {""over"": 212}}, ""betmgm"": {""0.5"": {""over"": -135, ""under"": 100}}, ""bet365"": {""1.5"": {""over"": 280, ""under"": -400}}, ""pinnacle"": {""0.5"": {""over"": -119, ""under"": -111}}}",1.5,over,bet365,280.0,0.2631578947368421,True,0.0641,0.5,over,pinnacle,-119.0,0.54337899543379,True,0.0254
677587,Brayan Rocchio,CLE,MIN,1,2.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,0,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,5,5,1,0,0,1,0,0,0,3,4,2,0,1,2,0,0,0.177,0.6305000000000001,1,0,1,1,1,1,0.2631578947368421,0.2631578947368421,0.868421052631579,0.1282051282051282,0.25806451612903225,0.18421052631578946,0.05128205128205128,0.02564102564102564,0.07894736842105263,1.1333333333333333,0.3333333333333333,0.38235294117647056,0.29411764705882354,0.4117647058823529,0.17647058823529413,0.029411764705882353,0.3141607142857143,0.4814583333333333,0.15384615384615385,0.15384615384615385,0.24953333333333344,0.31939999999999996,0.29310344827586204,0.43103448275862066,0.14754098360655737,0.24,0.34,0.21428571428571427,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.4675916116207975,0.2686865959098545,0.4675916116207975,1.1333333333333333,"{""novig"": {""1.5"": {""over"": 125, ""under"": -163}}, ""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}, ""betmgm"": {""1.5"": {""over"": 125, ""under"": -165}}, ""pinnacle"": {""1.5"": {""over"": 122, ""under"": -163}}, ""draftkings"": {""1.5"": {""over"": 115, ""under"": -155}}}",1.5,over,bet365,135.0,0.425531914893617,True,-0.1568,0.5,,,,,False,
800050,Chase DeLauter,CLE,MIN,1,3.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,0,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,5,5,4,2,0,0,0,0,0,0,6,5,0,3,0,1,4,0.5878,0.852,1,1,1,1,0,0,0.3114754098360656,0.36363636363636365,0.8524590163934426,0.13636363636363635,0.3125,0.26229508196721313,0.06060606060606061,0.06060606060606061,0.13114754098360656,2.3333333333333335,0.6,0.5769230769230769,0.15384615384615385,0.5,0.28846153846153844,0.019230769230769232,0.3235088888888889,0.58867,0.21052631578947367,0.13636363636363635,0.2558433333333333,0.5668,0.3333333333333333,0.6166666666666667,0.13846153846153847,0.3333333333333333,0.4074074074074074,0.140625,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.6460288429353294,0.399100931671849,0.6460288429353294,2.3333333333333335,"{""novig"": {""1.5"": {""over"": 113, ""under"": -147}}, ""bet365"": {""1.5"": {""over"": 110, ""under"": -150}}, ""betmgm"": {""1.5"": {""over"": 180, ""under"": -250}}, ""pinnacle"": {""1.5"": {""over"": 118, ""under"": -157}}, ""draftkings"": {""1.5"": {""over"": 110, ""under"": -145}}}",1.5,over,betmgm,180.0,0.35714285714285715,True,0.042,0.5,,,,,False,
681807,David Fry,CLE,MIN,1,5.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,1,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,5,5,0,0,0,0,0,0,0,1,0,4,0,1,2,1,0,0.08449999999999999,0.10625000000000001,0,0,0,0,1,0,0.125,0.2222222222222222,0.6666666666666666,0.2962962962962963,0.07142857142857142,0.25,0.07407407407407407,0.0,0.08333333333333333,0.6,0.5333333333333333,0.4375,0.0,0.4375,0.375,0.0625,0.21933333333333332,0.5908833333333333,0.0,0.625,0.048249999999999835,0.08824999999999956,0.1875,0.25,0.16666666666666666,0.13043478260869565,0.5217391304347826,0.35714285714285715,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.4315962593050937,0.28658055105337144,0.4315962593050937,0.6,"{""novig"": {""1.5"": {""over"": 170}}, ""pinnacle"": {""0.5"": {""over"": -114, ""under"": -116}}}",1.5,over,novig,170.0,0.37037037037037035,True,-0.0838,0.5,over,pinnacle,-114.0,0.5327102803738317,True,-0.1011
672356,Gabriel Arias,CLE,MIN,1,7.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,1,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,3,2,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0.54,0.597,1,0,1,0,1,0,0.2619047619047619,0.3111111111111111,0.5714285714285714,0.4,0.38095238095238093,0.21428571428571427,0.06666666666666667,0.0,0.07142857142857142,1.3333333333333333,1.2,0.5,0.25,0.4166666666666667,0.25,0.041666666666666664,0.41268939393939397,0.8300151515151515,0.29411764705882354,0.5294117647058824,0.4875,0.8884999999999998,0.2765957446808511,0.5106382978723404,0.40816326530612246,0.22448979591836735,0.30612244897959184,0.42592592592592593,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.5681351963016715,0.4043836910956596,0.5681351963016715,1.3333333333333333,"{""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""bet365"": {""1.5"": {""over"": 190, ""under"": -260}}, ""pinnacle"": {""0.5"": {""over"": -156, ""under"": 118}}}",1.5,over,bet365,190.0,0.3448275862068966,True,0.0596,0.5,over,pinnacle,-156.0,0.609375,True,-0.0412
690984,Petey Halpin,CLE,MIN,1,9.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,0,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,5,5,3,1,0,2,0,0,0,0,10,5,1,4,3,1,1,0.38320000000000004,1.1064,1,1,1,1,0,0,0.21621621621621623,0.23684210526315788,0.6486486486486487,0.325,0.3333333333333333,0.08108108108108109,0.0,0.025,0.05405405405405406,0.7333333333333333,0.8666666666666667,0.19230769230769232,0.2692307692307692,0.38461538461538464,0.2692307692307692,0.038461538461538464,0.35869047619047617,0.4462023809523809,0.2857142857142857,0.3333333333333333,0.4970333333333333,0.5417666666666667,0.2777777777777778,0.3888888888888889,0.3076923076923077,0.13333333333333333,0.13333333333333333,0.3333333333333333,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.34565698214542867,0.18918904219664168,0.34565698214542867,0.7333333333333333,"{""novig"": {""1.5"": {""over"": 174}}, ""betmgm"": {""0.5"": {""over"": -155, ""under"": 115}}, ""bet365"": {""1.5"": {""over"": 195, ""under"": -270}}, ""pinnacle"": {""0.5"": {""over"": -141, ""under"": 106}}}",1.5,over,bet365,195.0,0.3389830508474576,True,-0.1498,0.5,over,pinnacle,-141.0,0.5850622406639004,True,-0.2394
656555,Rhys Hoskins,CLE,MIN,1,4.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,1,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,5,5,2,0,0,2,0,0,0,1,8,4,0,2,3,0,0,0.43325,1.6855,1,1,1,1,1,0,0.18421052631578946,0.3111111111111111,0.5263157894736842,0.4,0.2777777777777778,0.18421052631578946,0.044444444444444446,0.022222222222222223,0.07894736842105263,0.9333333333333333,1.2,0.35,0.2,0.2,0.35,0.15,0.31175,0.6267666666666667,0.17647058823529413,0.3888888888888889,0.38341666666666663,1.052375,0.12,0.26,0.42857142857142855,0.18181818181818182,0.36363636363636365,0.32558139534883723,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.5126945456263837,0.2627587524648507,0.5126945456263837,0.9333333333333333,"{""novig"": {""1.5"": {""over"": 138}}, ""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""bet365"": {""1.5"": {""over"": 155, ""under"": -210}}, ""pinnacle"": {""0.5"": {""over"": -162, ""under"": 121}}}",1.5,over,bet365,155.0,0.39215686274509803,True,-0.1294,0.5,over,pinnacle,-162.0,0.6183206106870229,True,-0.1056
680757,Steven Kwan,CLE,MIN,1,1.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,0,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,4,3,0,0,0,0,1,0,0,0,0,3,0,0,2,0,1,0.11333333333333333,0.21233333333333335,0,0,0,0,0,0,0.42857142857142855,0.5102040816326531,0.9285714285714286,0.058823529411764705,0.46153846153846156,0.14285714285714285,0.0,0.0392156862745098,0.09523809523809523,1.6,0.2,0.05,0.475,0.425,0.075,0.0,0.40099444444444443,0.4650611111111111,0.5555555555555556,0.05,0.5281833333333332,0.5907499999999999,0.42857142857142855,0.5714285714285714,0.058823529411764705,0.17543859649122806,0.22807017543859648,0.13846153846153847,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.6518014580535088,0.32744545492300553,0.6518014580535088,1.6,"{""novig"": {""1.5"": {""over"": 130, ""under"": -170}}, ""bet365"": {""1.5"": {""over"": 135, ""under"": -180}}, ""betmgm"": {""1.5"": {""over"": 125, ""under"": -165}}, ""pinnacle"": {""1.5"": {""over"": 134, ""under"": -180}}, ""draftkings"": {""1.5"": {""over"": 125, ""under"": -170}}}",1.5,over,bet365,135.0,0.425531914893617,True,-0.0981,0.5,,,,,False,
683953,Travis Bazzana,CLE,MIN,1,6.0,1,696070,Kendry Rojas,L,824409,6:40 PM ET,Progressive Field,0,0,0.2818181818181818,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,5,5,3,0,0,1,0,0,0,1,6,4,1,1,1,2,1,0.41700000000000004,0.7045,1,1,1,1,1,0,0.18333333333333332,0.2753623188405797,0.65,0.30434782608695654,0.2564102564102564,0.13333333333333333,0.014492753623188406,0.043478260869565216,0.08333333333333333,1.2666666666666666,1.4,0.35,0.225,0.375,0.275,0.025,0.2600322222222222,0.38817444444444443,0.21052631578947367,0.391304347826087,0.339,0.6016666666666667,0.1694915254237288,0.3050847457627119,0.27941176470588236,0.2542372881355932,0.4576271186440678,0.23529411764705882,0.5365853658536586,0.20634920634920634,0.3125,0.09375,0.4772727272727273,0.25,0.022727272727272728,6.612244897959184,0.0,9.918367346938776,0.2535211267605634,0.5698115973010162,0.340146222205459,0.5698115973010162,1.2666666666666666,"{""novig"": {""1.5"": {""over"": 156}}, ""betmgm"": {""0.5"": {""over"": -190, ""under"": 140}}, ""bet365"": {""1.5"": {""over"": 175, ""under"": -235}}, ""pinnacle"": {""0.5"": {""over"": -176, ""under"": 132}}, ""draftkings"": {""1.5"": {""over"": 151, ""under"": -203}}}",1.5,over,bet365,175.0,0.36363636363636365,True,-0.0235,0.5,over,pinnacle,-176.0,0.6376811594202898,True,-0.0679
668885,Austin Martin,MIN,CLE,0,1.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0.21,0.235,0,0,0,0,0,0,0.30303030303030304,0.4146341463414634,0.7878787878787878,0.16666666666666666,0.37037037037037035,0.030303030303030304,0.0,0.023809523809523808,0.030303030303030304,0.7333333333333333,0.4666666666666667,0.2962962962962963,0.2222222222222222,0.48148148148148145,0.25925925925925924,0.0,0.3831602564102564,0.4658461538461538,0.18181818181818182,0.3076923076923077,0.45229166666666665,0.535625,0.12121212121212122,0.15151515151515152,0.3157894736842105,0.275,0.4,0.16981132075471697,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.6055245965861318,0.3814875928064816,0.6055245965861318,0.7333333333333333,"{""betmgm"": {""0.5"": {""over"": -140, ""under"": 105}}, ""bet365"": {""1.5"": {""over"": 190, ""under"": -260}}, ""pinnacle"": {""0.5"": {""over"": -164, ""under"": 123}}}",1.5,over,bet365,190.0,0.3448275862068966,True,0.0367,0.5,over,betmgm,-140.0,0.5833333333333334,True,0.0222
621439,Byron Buxton,MIN,CLE,0,2.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,3,3,2,0,0,0,0,0,0,0,2,3,0,0,0,1,2,0.2973333333333333,0.365,1,1,1,1,0,0,0.2786885245901639,0.3181818181818182,0.7868852459016393,0.19696969696969696,0.30434782608695654,0.21311475409836064,0.045454545454545456,0.06060606060606061,0.11475409836065574,2.0,0.8666666666666667,0.46938775510204084,0.20408163265306123,0.3877551020408163,0.3469387755102041,0.0,0.37831555555555557,0.7681833333333333,0.29411764705882354,0.15,0.35137999999999997,0.6601499999999996,0.3064516129032258,0.5806451612903226,0.19117647058823528,0.34375,0.6875,0.21739130434782608,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.6956871749949869,0.46122321269582645,0.6956871749949869,2.0,"{""novig"": {""1.5"": {""over"": 108, ""under"": -130}}, ""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""bet365"": {""1.5"": {""over"": 100, ""under"": -135}}, ""pinnacle"": {""1.5"": {""over"": 103, ""under"": -137}}, ""draftkings"": {""1.5"": {""over"": 106, ""under"": -140}}}",1.5,over,novig,108.0,0.4807692307692308,True,-0.0195,0.5,over,betmgm,-165.0,0.6226415094339622,True,0.073
605137,Josh Bell,MIN,CLE,0,4.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,0,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,4,4,2,1,0,0,0,0,0,1,3,3,0,1,1,0,1,0.22466666666666668,0.2486666666666667,1,1,1,1,1,0,0.2777777777777778,0.3333333333333333,0.7777777777777778,0.20512820512820512,0.35714285714285715,0.08333333333333333,0.0,0.07692307692307693,0.08333333333333333,0.8666666666666667,0.5333333333333333,0.42857142857142855,0.17857142857142858,0.4642857142857143,0.25,0.0,0.304547619047619,0.46589285714285716,0.2727272727272727,0.25,0.2807916666666666,0.3519999999999994,0.22950819672131148,0.5573770491803278,0.23076923076923078,0.27450980392156865,0.4117647058823529,0.18867924528301888,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.5969531312175694,0.34161471286625855,0.5969531312175694,0.8666666666666667,"{""novig"": {""1.5"": {""over"": 144}}, ""betmgm"": {""0.5"": {""over"": -120, ""under"": -110}}, ""bet365"": {""1.5"": {""over"": 170, ""under"": -230}}, ""pinnacle"": {""0.5"": {""over"": -186, ""under"": 139}}, ""draftkings"": {""1.5"": {""over"": 140, ""under"": -188}}}",1.5,over,bet365,170.0,0.37037037037037035,True,-0.0288,0.5,over,betmgm,-120.0,0.5454545454545454,True,0.0515
665019,Kody Clemens,MIN,CLE,0,7.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,0,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,L,5,5,0,0,0,0,0,0,0,2,0,3,0,0,2,0,1,0.09200000000000001,0.12966666666666668,0,0,0,0,1,1,0.23728813559322035,0.265625,0.6440677966101694,0.328125,0.2571428571428571,0.3220338983050847,0.078125,0.03125,0.13559322033898305,2.2,1.4,0.425,0.25,0.3,0.375,0.05,0.2992222222222222,0.6116611111111111,0.11764705882352941,0.4444444444444444,0.22279999999999994,0.571,0.21666666666666667,0.5,0.2727272727272727,0.32727272727272727,0.6363636363636364,0.19642857142857142,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.6073520120161647,0.36022529154949784,0.6073520120161647,2.2,"{""novig"": {""1.5"": {""over"": 144}}, ""betmgm"": {""0.5"": {""over"": -155, ""under"": 115}}, ""bet365"": {""1.5"": {""over"": 205, ""under"": -290}}, ""pinnacle"": {""0.5"": {""over"": -142, ""under"": 107}}}",1.5,over,bet365,205.0,0.32786885245901637,True,0.0324,0.5,over,pinnacle,-142.0,0.5867768595041323,True,0.0206
807712,Luke Keaschall,MIN,CLE,0,8.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,4,3,1,0,0,0,1,0,0,0,1,3,0,0,0,2,0,0.20166666666666666,0.22366666666666668,1,0,1,0,0,0,0.36585365853658536,0.4716981132075472,0.8292682926829268,0.1320754716981132,0.38235294117647056,0.1951219512195122,0.03773584905660377,0.03773584905660377,0.0975609756097561,1.5333333333333334,0.4666666666666667,0.25,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.0,0.28168452380952386,0.3972916666666667,0.42857142857142855,0.17647058823529413,0.43443333333333334,0.5010333333333333,0.29545454545454547,0.4772727272727273,0.10714285714285714,0.1590909090909091,0.20454545454545456,0.20408163265306123,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.5995411789656426,0.3406015783822256,0.5995411789656426,1.5333333333333334,"{""novig"": {""1.5"": {""over"": 178}}, ""betmgm"": {""0.5"": {""over"": -165, ""under"": 125}}, ""bet365"": {""1.5"": {""over"": 195, ""under"": -270}}, ""pinnacle"": {""0.5"": {""over"": -167, ""under"": 125}}}",1.5,over,bet365,195.0,0.3389830508474576,True,0.0016,0.5,over,betmgm,-165.0,0.6226415094339622,True,-0.0231
668904,Royce Lewis,MIN,CLE,0,5.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,4,3,1,0,0,0,1,0,0,1,1,2,0,1,1,0,1,0.3435,0.413,1,0,1,0,1,0,0.23214285714285715,0.30158730158730157,0.7321428571428571,0.23809523809523808,0.2564102564102564,0.25,0.047619047619047616,0.07936507936507936,0.14285714285714285,1.8,1.0,0.4523809523809524,0.2857142857142857,0.23809523809523808,0.3333333333333333,0.0,0.32058333333333333,0.5955,0.23529411764705882,0.15789473684210525,0.3356,0.6908,0.2542372881355932,0.4915254237288136,0.234375,0.1836734693877551,0.3469387755102041,0.21428571428571427,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.6448224860852653,0.414383058205092,0.6448224860852653,1.8,"{""novig"": {""1.5"": {""over"": 138}}, ""betmgm"": {""0.5"": {""over"": -175, ""under"": 130}}, ""bet365"": {""1.5"": {""over"": 170, ""under"": -230}}, ""pinnacle"": {""0.5"": {""over"": -167, ""under"": 125}}}",1.5,over,bet365,170.0,0.37037037037037035,True,0.044,0.5,over,pinnacle,-167.0,0.6254681647940075,True,0.0194
680777,Ryan Jeffers,MIN,CLE,0,3.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,3,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0.06,0.088,0,0,0,0,1,0,0.3,0.4166666666666667,0.88,0.1,0.275,0.38,0.06666666666666667,0.11666666666666667,0.22,2.2666666666666666,0.4,0.4318181818181818,0.22727272727272727,0.38636363636363635,0.2727272727272727,0.06818181818181818,0.30651111111111107,0.6062666666666667,0.2777777777777778,0.1,0.3116166666666667,0.4759333333333333,0.3148148148148148,0.6111111111111112,0.07936507936507936,0.2830188679245283,0.4716981132075472,0.15873015873015872,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.6192940959314392,0.39382790445236204,0.6192940959314392,2.2666666666666666,"{""novig"": {""1.5"": {""over"": 130}}, ""bet365"": {""1.5"": {""over"": 150, ""under"": -200}}, ""betmgm"": {""1.5"": {""over"": 135, ""under"": -185}}, ""pinnacle"": {""0.5"": {""over"": -193, ""under"": 144}}, ""draftkings"": {""1.5"": {""over"": 141, ""under"": -188}}}",1.5,over,bet365,150.0,0.4,True,-0.0062,0.5,over,pinnacle,-193.0,0.658703071672355,True,-0.0394
668952,Ryan Kreidler,MIN,CLE,0,9.0,1,800048,Parker Messick,L,824409,6:40 PM ET,Progressive Field,1,0,0.2255772646536412,2026-07-21,824409,0.0,0,96.8,95.8,102.3,R,4,4,0,0,0,0,0,0,0,1,0,3,0,1,0,2,1,0.20166666666666666,0.2876666666666667,0,0,0,0,1,0,0.16666666666666666,0.2,0.7291666666666666,0.26,0.20588235294117646,0.08333333333333333,0.02,0.02,0.041666666666666664,0.8,0.8666666666666667,0.34285714285714286,0.02857142857142857,0.7142857142857143,0.11428571428571428,0.02857142857142857,0.24495833333333333,0.33377380952380953,0.23076923076923078,0.15384615384615385,0.3349166666666667,0.3844666666666668,0.3,0.46,0.18867924528301888,0.11538461538461539,0.15384615384615385,0.16666666666666666,0.6748971193415638,0.2028301886792453,0.3778801843317972,0.15668202764976957,0.42073170731707316,0.21341463414634146,0.012195121951219513,7.322033898305085,0.7627118644067796,8.847457627118644,0.23868312757201646,0.5418662642433666,0.2627587524648507,0.5418662642433666,0.8,"{""novig"": {""1.5"": {""over"": 223}}, ""betmgm"": {""0.5"": {""over"": -115, ""under"": -115}}, ""bet365"": {""1.5"": {""over"": 240, ""under"": -340}}, ""pinnacle"": {""0.5"": {""over"": -124, ""under"": -107}}}",1.5,over,bet365,240.0,0.29411764705882354,True,-0.0314,0.5,over,betmgm,-115.0,0.5348837209302325,True,0.007
