park,bat_side,hr_park_factor,batted_balls
ATH,L,99.6,7444
ATH,R,113.3,11560
ATL,L,98.1,8521
ATL,R,92.8,10712
AZ,L,84.1,9775
AZ,R,97.4,11548
BAL,L,115.6,9685
BAL,R,94.3,9935
BOS,L,80.8,9242
BOS,R,85.2,10436
CHC,L,102.5,8303
CHC,R,105.5,11655
CIN,L,123.1,7555
CIN,R,113.5,11590
CLE,L,106.3,11378
CLE,R,95.7,8804
COL,L,113.9,8076
COL,R,99.3,12585
CWS,L,103.4,8678
CWS,R,91.0,11080
DET,L,97.2,9055
DET,R,104.4,10439
HOU,L,117.9,6451
HOU,R,117.9,12478
KC,L,85.2,8811
KC,R,83.7,11099
LAA,L,103.2,7101
LAA,R,100.9,11954
LAD,L,107.0,9772
LAD,R,123.4,11614
MIA,L,91.5,8867
MIA,R,84.5,11246
MIL,L,105.1,8969
MIL,R,113.4,10993
MIN,L,93.0,9510
MIN,R,92.4,11309
NYM,L,95.0,8896
NYM,R,95.6,11295
NYY,L,104.0,9896
NYY,R,100.0,10773
PHI,L,118.3,9013
PHI,R,114.1,11848
PIT,L,90.6,8376
PIT,R,76.9,11690
SD,L,87.8,9214
SD,R,101.7,11043
SEA,L,99.6,10022
SEA,R,103.4,10135
SF,L,77.2,7991
SF,R,91.7,10955
STL,L,81.1,8856
STL,R,88.4,11274
TB,L,99.8,8441
TB,R,110.5,10874
TEX,L,96.8,8749
TEX,R,86.4,10860
TOR,L,108.2,9004
TOR,R,106.3,12344
WSH,L,93.0,9732
WSH,R,92.4,10113
ATH,ALL,107.5,19004
ATL,ALL,95.3,19233
AZ,ALL,91.3,21323
BAL,ALL,104.8,19620
BOS,ALL,83.1,19678
CHC,ALL,104.2,19958
CIN,ALL,117.3,19145
CLE,ALL,101.6,20182
COL,ALL,105.5,20661
CWS,ALL,96.7,19758
DET,ALL,101.0,19494
HOU,ALL,117.9,18929
KC,ALL,84.3,19910
LAA,ALL,101.6,19055
LAD,ALL,115.3,21386
MIA,ALL,87.8,20113
MIL,ALL,109.8,19962
MIN,ALL,92.7,20819
NYM,ALL,95.3,20191
NYY,ALL,101.9,20669
PHI,ALL,116.3,20861
PIT,ALL,83.6,20066
SD,ALL,95.6,20257
SEA,ALL,101.4,20157
SF,ALL,85.7,18946
STL,ALL,84.9,20130
TB,ALL,106.1,19315
TEX,ALL,91.1,19609
TOR,ALL,107.1,21348
WSH,ALL,92.7,19845
